title,work_category,employment_type,description_1,description_2,description_3,examples_of_work,submission_deadline,budget,language,location
Software Engineer,IT,Full-time,Design and develop software,Troubleshoot and debug issues,Collaborate with cross-functional teams,GitHub link,30/7/2024,"$80,000",English,Remote
Data Analyst,Analytics,Part-time,Collect and analyze data,Generate and present reports,Use statistical tools for data interpretation,Portfolio,15/8/2024,"$45,000",English,New York
Graphic Designer,Design,Freelance,Create visual content,Design marketing materials,Ensure brand consistency,Behance portfolio,10/7/2024,"$30,000",English,Remote
Marketing Specialist,Marketing,Full-time,Develop and execute marketing campaigns,Conduct market research,Optimize content for SEO,Campaign examples,1/9/2024,"$60,000",English,San Francisco
Project Manager,Management,Contract,Plan and oversee projects,Manage project timelines,Coordinate with stakeholders,Project plans,20/7/2024,"$90,000",English,Chicago
Content Writer,Writing,Part-time,Research and write articles,Edit and proofread content,Optimize content for SEO,Writing samples,25/7/2024,"$25,000",English,Remote
Customer Support,Support,Full-time,Provide customer assistance,Resolve customer issues,Maintain customer satisfaction,Customer feedback,5/8/2024,"$40,000",English,Remote
UX/UI Designer,Design,Freelance,Design user-friendly interfaces,Conduct user research,Create wireframes and prototypes,Design portfolio,10/8/2024,"$35,000",English,Remote
Sales Manager,Sales,Full-time,Lead and manage sales team,Develop sales strategies,Achieve sales targets,Sales records,15/9/2024,"$70,000",English,Boston
HR Specialist,Human Resources,Part-time,Recruit and onboard employees,Maintain employee records,Develop and implement HR policies,HR reports,1/8/2024,"$50,000",English,Remote
Web Developer,IT,Contract,Develop and maintain websites,Fix bugs and improve performance,Collaborate with designers and developers,GitHub link,15/7/2024,"$75,000",English,Los Angeles
Data Scientist,Analytics,Full-time,Analyze complex data sets,Build predictive models,Communicate insights to stakeholders,Portfolio,20/8/2024,"$95,000",English,San Francisco
Translator,Language,Freelance,Translate written documents,Proofread and edit translations,Ensure cultural relevance,Translation samples,18/7/2024,"$20,000",Spanish,Remote
SEO Specialist,Marketing,Contract,Optimize website content,Conduct keyword research,Monitor and analyze SEO metrics,SEO reports,5/9/2024,"$65,000",English,Remote
Product Manager,Management,Full-time,Oversee product development,Coordinate with various teams,Conduct market analysis,Product examples,25/8/2024,"$85,000",English,New York
